EventID,Timestamp,Flag,Name_src,DM,MaxSNR,BeamID,TriggerSent,filename,TriggerInfo,mtime
"20251029_184925.44Z","2025-10-29T18:49:25.448965+00:00","PSR","B0531+21",56.820196198398015,9.8515625,120,true,"event-20251029_184925.44Z.json",[object Object],1761763768944.0967
"20251029_184853.99Z","2025-10-29T18:48:53.991685+00:00","PSR","B0531+21",56.761558225025055,16.8125,120,true,"event-20251029_184853.99Z.json",[object Object],1761763737496.8726
"20251029_175526.43Z","2025-10-29T17:55:26.438661+00:00","PSR","B0531+21",56.761558225025055,11.3671875,125,true,"event-20251029_175526.43Z.json",[object Object],1761760529857.3887
"20251029_161601.27Z","2025-10-29T16:16:01.270021+00:00","PSR","B0329+54",26.797553831442617,8.078125,217,true,"event-20251029_161601.27Z.json",[object Object],1761754565242.6057
"20251027_191157.30Z","2025-10-27T19:11:57.300997+00:00","PSR","B0531+21",56.702920251652095,8.625,119,true,"event-20251027_191157.30Z.json",[object Object],1761592320714.0713
"20251027_183427.45Z","2025-10-27T18:34:27.458309+00:00","PSR","B0531+21",56.761558225025055,9.8359375,122,true,"event-20251027_183427.45Z.json",[object Object],1761590070945.4868
"20251026_203501.29Z","2025-10-26T20:35:01.297413+00:00","PSR","B0531+21",56.79578365438152,9.3046875,112,true,"event-20251026_203501.29Z.json",[object Object],1761510904172.3967
"20251026_194725.83Z","2025-10-26T19:47:25.836549+00:00","PSR","B0531+21",56.79578365438152,13.46875,116,true,"event-20251026_194725.83Z.json",[object Object],1761508048789.0261
"20251026_193456.75Z","2025-10-26T19:34:56.751877+00:00","PSR","B0531+21",56.79578365438152,10.6953125,117,true,"event-20251026_193456.75Z.json",[object Object],1761507299693.4067
"20251026_184245.02Z","2025-10-26T18:42:45.024005+00:00","PSR","B0329+54",26.727427602061894,8.1484375,210,true,"event-20251026_184245.02Z.json",[object Object],1761504168212.1055
"20251026_183924.41Z","2025-10-26T18:39:24.418309+00:00","PSR","B0531+21",56.79578365438152,14.59375,122,true,"event-20251026_183924.41Z.json",[object Object],1761503967191.8608
"20251026_182834.56Z","2025-10-26T18:28:34.563333+00:00","PSR","B0531+21",56.86686723842956,9.1171875,123,true,"event-20251026_182834.56Z.json",[object Object],1761503317706.8408
"20251026_175035.64Z","2025-10-26T17:50:35.647237+00:00","PSR","B0531+21",56.79578365438152,29.015625,126,true,"event-20251026_175035.64Z.json",[object Object],1761501038620.7888
"20251025_203936Z","2025-10-25T20:39:36.597765+00:00","PSR","B0531+21",56.65361648628545,8.6953125,112,true,"event-20251025_203936Z.json",[object Object],1761424779398.8325
"20251025_202749Z","2025-10-25T20:27:49.742853+00:00","PSR","B0531+21",56.79578365438152,8.65625,113,true,"event-20251025_202749Z.json",[object Object],1761424072528.2207
"20251025_195238Z","2025-10-25T19:52:38.828293+00:00","PSR","B0531+21",56.72470007033349,10.5390625,116,true,"event-20251025_195238Z.json",[object Object],1761421961748.9822
"20251025_192901Z","2025-10-25T19:29:01.792517+00:00","PSR","B0531+21",56.86686723842956,8.265625,118,true,"event-20251025_192901Z.json",[object Object],1761420544689.417
"20251025_192622Z","2025-10-25T19:26:22.327045+00:00","PSR","B0329+54",26.656344018013858,8.0859375,208,true,"event-20251025_192622Z.json",[object Object],1761420385446.34
"20251025_191843Z","2025-10-25T19:18:43.689733+00:00","PSR","B0531+21",56.86686723842956,36.25,119,true,"event-20251025_191843Z.json",[object Object],1761419926444.2424
"20251025_190737Z","2025-10-25T19:07:37.008389+00:00","PSR","B0329+54",26.79851118610993,8.4765625,209,true,"event-20251025_190737Z.json",[object Object],1761419260165.7568
"20251025_190707Z","2025-10-25T19:07:07.713797+00:00","PSR","B0329+54",26.86959477015797,8.1875,209,true,"event-20251025_190707Z.json",[object Object],1761419230801.5593
"20251025_185326Z","2025-10-25T18:53:26.662405+00:00","PSR","B0531+21",56.72470007033349,8.203125,121,true,"event-20251025_185326Z.json",[object Object],1761418409805.0774
"20251025_184505Z","2025-10-25T18:45:05.189125+00:00","PSR","B0329+54",26.727427602061894,8.90625,210,true,"event-20251025_184505Z.json",[object Object],1761417908131.723
"20251025_184101Z","2025-10-25T18:41:01.092101+00:00","PSR","B0531+21",56.79578365438152,14.0703125,122,true,"event-20251025_184101Z.json",[object Object],1761417664160.0718
"20251025_182451Z","2025-10-25T18:24:51.265797+00:00","PSR","B0329+54",26.514176849917785,8.21875,211,true,"event-20251025_182451Z.json",[object Object],1761416694459.9524
"20251023_193338Z","2025-10-23T19:33:38.731269+00:00","PSR","B0329+54",26.79851118610993,8.1953125,208,true,"event-20251023_193338Z.json",[object Object],1761248021624.1223
"20251023_193240Z","2025-10-23T19:32:40.854789+00:00","PSR","B0329+54",26.727427602061894,9.2421875,208,true,"event-20251023_193240Z.json",[object Object],1761247963922.7664
"20251023_191636Z","2025-10-23T19:16:36.295941+00:00","PSR","B0329+54",26.79851118610993,8.3515625,209,true,"event-20251023_191636Z.json",[object Object],1761246999124.825
"20251023_191407Z","2025-10-23T19:14:07.684869+00:00","PSR","B0329+54",26.656344018013858,9.6875,209,true,"event-20251023_191407Z.json",[object Object],1761246850752.9114
"20251023_191340Z","2025-10-23T19:13:40.536581+00:00","PSR","B0329+54",26.79851118610993,9.4609375,209,true,"event-20251023_191340Z.json",[object Object],1761246823465.7434
"20251023_191306Z","2025-10-23T19:13:06.236677+00:00","PSR","B0329+54",26.727427602061894,8.5703125,209,true,"event-20251023_191306Z.json",[object Object],1761246789331.5332
"20251023_191241Z","2025-10-23T19:12:41.234693+00:00","PSR","B0329+54",26.79851118610993,8.3984375,209,true,"event-20251023_191241Z.json",[object Object],1761246764221.3787
"20251023_191156Z","2025-10-23T19:11:56.219653+00:00","PSR","B0329+54",26.79851118610993,8.8359375,209,true,"event-20251023_191156Z.json",[object Object],1761246719149.101
"20251023_191151Z","2025-10-23T19:11:51.927045+00:00","PSR","B0329+54",26.656344018013858,8.515625,209,true,"event-20251023_191151Z.json",[object Object],1761246714949.0752
"20251023_191044Z","2025-10-23T19:10:44.056325+00:00","PSR","B0329+54",26.79851118610993,8.296875,209,true,"event-20251023_191044Z.json",[object Object],1761246647306.659
"20251023_185642Z","2025-10-23T18:56:42.385669+00:00","PSR","B0329+54",26.727427602061894,10.4140625,210,true,"event-20251023_185642Z.json",[object Object],1761245805472.5676
"20251023_185503Z","2025-10-23T18:55:03.786757+00:00","PSR","B0329+54",26.86959477015797,9.84375,210,true,"event-20251023_185503Z.json",[object Object],1761245706853.962
